# target qid ck12_retrieval_features_sum ck12_retrieval_features_max study_cards_retrieval_features_max study_cards_retrieval_features_sum 
1 qid:100001 1:1.6484557092189789 2:0.34469133615493774 3:6.481795310974121 4:9.687110424041748
1 qid:100001 1:2.067196935415268 2:0.53689044713974 3:6.443002700805664 4:9.683674037456512
2 qid:100001 1:1.7744913399219513 2:0.419986367225647 3:7.0424652099609375 4:10.285233557224274
1 qid:100001 1:1.60137540102005 2:0.34365028142929077 3:6.453017234802246 4:9.807034015655518
1 qid:100002 1:2.131241649389267 2:0.6113901734352112 3:1.669058918952942 4:5.407349586486816
1 qid:100002 1:2.5360299050807953 2:0.7364845275878906 3:1.6555627584457397 4:6.140277624130249
2 qid:100002 1:3.315451681613922 2:1.1115026473999023 3:1.9896190166473389 4:6.44588702917099
1 qid:100002 1:2.6187614500522614 2:0.7512451410293579 3:2.074052572250366 4:6.719431519508362
1 qid:100003 1:3.148006796836853 2:0.7028762698173523 3:1.1768195629119873 4:5.075865685939789
1 qid:100003 1:3.7592733502388 2:0.9071803092956543 3:1.5344594717025757 4:5.858099341392517
1 qid:100003 1:3.9112353324890137 2:0.9991081357002258 3:1.3814562559127808 4:6.392302632331848
2 qid:100003 1:3.8214417695999146 2:0.8959707021713257 3:1.6466727256774902 4:6.468443810939789
1 qid:100004 1:3.321356236934662 2:0.7705143094062805 3:2.5953919887542725 4:9.753112077713013
2 qid:100004 1:1.5813269019126892 2:0.38372814655303955 3:1.3502109050750732 4:5.573064684867859
1 qid:100004 1:1.911022037267685 2:0.41799962520599365 3:1.425066351890564 4:5.894207954406738
1 qid:100004 1:3.7361048460006714 2:0.8069351315498352 3:2.3784427642822266 4:7.360910892486572
1 qid:100005 1:7.02154541015625 2:1.6060712337493896 3:2.6031055450439453 4:12.506476402282715
2 qid:100005 1:8.95040738582611 2:2.0921318531036377 3:2.596524715423584 4:12.47485876083374
1 qid:100005 1:5.34492826461792 2:1.1254240274429321 3:1.9387568235397339 4:8.59343683719635
1 qid:100005 1:5.5235254764556885 2:1.1873247623443604 3:1.9133825302124023 4:8.480966687202454
