id	question	correctAnswer	answerA	answerB	answerC	answerD
100001	When athletes begin to exercise, their heart rates and respiration rates increase.  At what level of organization does the human body coordinate these functions?	C	at the tissue level	at the organ level	at the system level	at the cellular level
100002	Which example describes a learned behavior in a dog?	C	smelling the air for odors	barking when disturbed	sitting on command	digging in soil
100003	When two nuclei are combined into one nucleus, there is a slight change in mass and the release of a large amount of energy. What is this process called?	D	conversion	reaction	fission	fusion
100004	Which is a distinction between an epidemic and a pandemic?	B	the symptoms of the disease	the geographical area affected	the species of organisms infected	the season in which the disease spreads
100005	In which way is the orbit of a comet different from the orbit of Earth?	B	The orbit of Earth is less circular than the orbit of a comet.	The orbit of a comet is more elliptical than the orbit of Earth.	The orbital period of Earth is much longer than the orbital period of a comet.	The orbital period of a comet is more predictable than the orbital period of Earth.
100006	A teacher builds a model of a hydrogen atom. A red golf ball is used for a proton, and a green golf ball is used for an electron. Which is not accurate concerning the model?	B	number of particles	relative mass of particles	types of particles present	charges of particles present
100007	Which substance should a student apply to the skin if he or she gets splashed with an acid?	A	water	vinegar	salt	formaldehyde
100008	What is the main source of energy for the water cycle?	A	the Sun	fossil fuels	clouds	the ocean
100009	Which has the greatest effect on aiding the movement of blood through the human body?	D	tension	friction	density	gravity
100010	Over time, non-volcanic mountains can form due to the interaction of plate boundaries. Which interaction is most likely associated with the formation of non-volcanic mountains?	C	oceanic plates colliding with oceanic plates	oceanic plates separating from oceanic plates	continental plates colliding with continental plates	continental plates separating from continental plates
100011	The human body has an average, normal temperature of about 98.6°F. To keep the core body temperature from becoming too high, the brain sends a signal to the body to	D	decrease sugar levels in the blood.	increase sugar levels in the blood.	decrease blood flow to the skin.	increase blood flow to the skin.
100012	Which is the best explanation of the term ecology?	D	the study of the nonliving parts of the environment	the study of the living parts of the environment	the study of the protection and renewal of natural resources	the study of organisms and their interactions with the environment
100013	A farmer sprayed his orange trees with a pesticide to eliminate the insects damaging the trees. Some of the insects survived and produced offspring that were also resistant to the insecticide. Which process is illustrated by the pesticide resistance of the offspring?	A	natural selection	selective breeding	aerobic respiration	sexual reproduction
100014	Researchers work in teams to make cars more fuel efficient. Which of these statements describes the main advantage of working in teams rather than working individually?	C	The research is more likely to be published.	The research costs less to perform.	The researchers can share their ideas.	The researchers have more time to complete work.
100015	Achromatopsia is a genetic disorder in which sufferers have no color vision.  Achromatopsia MOST likely affects which of the following structures in the eye?	B	rod cells	cone cells	lens	iris
100016	Which of these elements is likely to be found in an organic compound?	B	helium	hydrogen	mercury	tin
100017	Which statement describes a principle scientists have used to learn more about the structure of Earth's interior?	C	Solid materials absorb seismic waves.	Magnetic fields deflect seismic waves.	The density of a material affects the speed of a seismic wave.	The physical state of a material determines the amplitude of a seismic wave.
100018	A scientist looks at a graph that shows the percentages of humus, clay, and sand that make up a soil. If the scientist had the total weight of each material, instead of percentages, what type of graph would be best to illustrate the data?	A	bar graph	scatterplot	circle graph	pictograph
100019	Robots can perform tasks that are dangerous for humans. What is the MAJOR limitation to the use of robots?	B	The assembly pieces must be very small.	The assembly process must remain exactly the same.	Robots require regular maintenance.	Robots must be provided with electricity.
100020	A student investigated the percentage of energy obtained from several food sources for a population of eagles. Which format is the best way to display this data?	B	a table	a pie chart	a bar graph	a line graph
100021	The Voyager II space probe was launched in 1979 with the mission of flying past the outer gas giant planets and collecting data.  What unit of measurement would BEST describe the distance that this probe traveled to reach Neptune?	C	meters	kilometers	astronomical units	light years
100022	Which cellular structure allows nutrients to pass into cells?	C	mitochondrion	nucleus	membrane	chloroplast
100023	Which behavior can help animals establish a territory?	C	A caribou herd migrates seasonally.	A scent trail leads ants to a food source.	A wolf pack howls to warn other wolves to stay away.	A honeybee society divides the work between its members.
100024	The brain, spinal cord, and nerves are organs that perform which primary function?	D	supporting the body and enabling it to move	transporting oxygen, wastes, and nutrients throughout the body	producing male and female gametes	conducting messages to coordinate body functions
